Profile_Type,Scenario,Location,Month,Month_Number,Energy_Consumption_kWh,Peak_Demand_kW,Average_Demand_kW,Load_Factor,Days_in_Month,Data_Source,Weather_Station,Climate_Zone,Building_Type,Building_SqFt,EUI_kWh_per_sqft,Hour,Time,Period,Day_Type
Residential,BASE,Baton Rouge,January,1.0,1769.9,7.32,2.38,0.325,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,February,2.0,1452.0,6.56,2.16,0.329,28.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,March,3.0,1017.3,3.62,1.37,0.378,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,April,4.0,917.2,2.45,1.27,0.521,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,May,5.0,1133.7,2.91,1.52,0.524,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,June,6.0,1230.5,3.59,1.71,0.476,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,July,7.0,1384.2,3.49,1.86,0.533,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,August,8.0,1309.6,3.83,1.76,0.46,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,September,9.0,1237.6,4.34,1.72,0.396,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,October,10.0,1070.4,3.04,1.44,0.473,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,November,11.0,904.5,2.85,1.26,0.441,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,December,12.0,1509.4,6.24,2.03,0.325,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,BASE,Baton Rouge,ANNUAL,0.0,14936.0,7.32,1.71,0.233,365.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,January,1.0,3558.5,10.96,4.78,0.437,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,February,2.0,2960.1,10.84,4.4,0.406,28.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,March,3.0,2032.7,8.06,2.73,0.339,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,April,4.0,1443.1,4.38,2.0,0.458,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,May,5.0,1925.6,5.11,2.59,0.507,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,June,6.0,2125.3,6.32,2.95,0.467,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,July,7.0,2383.7,5.98,3.2,0.536,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,August,8.0,2268.6,6.66,3.05,0.458,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,September,9.0,2071.1,7.43,2.88,0.387,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,October,10.0,1641.6,5.26,2.21,0.42,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,November,11.0,1231.0,4.73,1.71,0.361,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,December,12.0,3424.3,10.44,4.6,0.441,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,HIGH,Baton Rouge,ANNUAL,0.0,27066.0,10.96,3.09,0.282,365.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,January,1.0,683.0,2.96,0.92,0.31,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,February,2.0,573.8,2.74,0.85,0.312,28.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,March,3.0,513.6,1.3,0.69,0.53,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,April,4.0,502.4,1.25,0.7,0.556,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,May,5.0,592.6,1.44,0.8,0.554,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,June,6.0,620.1,1.72,0.86,0.499,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,July,7.0,687.8,1.68,0.92,0.55,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,August,8.0,655.0,1.83,0.88,0.481,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,September,9.0,626.5,2.05,0.87,0.425,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,October,10.0,567.9,1.46,0.76,0.522,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,November,11.0,497.6,1.39,0.69,0.499,30.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,December,12.0,573.1,2.43,0.77,0.317,31.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Residential,LOW,Baton Rouge,ANNUAL,0.0,7093.0,2.96,0.81,0.274,365.0,"EnergyPlus Residential Prototype, Louisiana TMY3",USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),,,,,,,
Commercial,,Baton Rouge,January,1.0,5406.0,15.0,7.3,0.483,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,0.98,,,,
Commercial,,Baton Rouge,February,2.0,4803.0,14.5,7.1,0.494,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,0.87,,,,
Commercial,,Baton Rouge,March,3.0,5815.0,16.3,7.8,0.478,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.06,,,,
Commercial,,Baton Rouge,April,4.0,5759.0,17.7,8.0,0.453,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.05,,,,
Commercial,,Baton Rouge,May,5.0,6841.0,20.2,9.2,0.455,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.24,,,,
Commercial,,Baton Rouge,June,6.0,7268.0,21.6,10.1,0.467,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.32,,,,
Commercial,,Baton Rouge,July,7.0,7435.0,21.1,10.0,0.473,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.35,,,,
Commercial,,Baton Rouge,August,8.0,7823.0,21.5,10.5,0.488,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.42,,,,
Commercial,,Baton Rouge,September,9.0,6806.0,21.8,9.5,0.433,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.24,,,,
Commercial,,Baton Rouge,October,10.0,6150.0,19.2,8.3,0.431,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,1.12,,,,
Commercial,,Baton Rouge,November,11.0,5432.0,16.7,7.5,0.452,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,0.99,,,,
Commercial,,Baton Rouge,December,12.0,5205.0,14.0,7.0,0.498,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,0.95,,,,
Commercial,,Baton Rouge,ANNUAL,0.0,74745.0,21.8,8.5,0.391,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Small Office,5500.0,13.59,,,,
Commercial,,Baton Rouge,January,1.0,65874.0,270.4,88.5,0.327,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.23,,,,
Commercial,,Baton Rouge,February,2.0,56735.0,255.1,84.4,0.331,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.06,,,,
Commercial,,Baton Rouge,March,3.0,61881.0,166.2,83.2,0.5,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.15,,,,
Commercial,,Baton Rouge,April,4.0,58648.0,182.4,81.5,0.447,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.09,,,,
Commercial,,Baton Rouge,May,5.0,67036.0,213.8,90.1,0.422,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.25,,,,
Commercial,,Baton Rouge,June,6.0,70562.0,235.8,98.0,0.416,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.32,,,,
Commercial,,Baton Rouge,July,7.0,71795.0,224.8,96.5,0.429,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.34,,,,
Commercial,,Baton Rouge,August,8.0,75727.0,235.7,101.8,0.432,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.41,,,,
Commercial,,Baton Rouge,September,9.0,66390.0,244.1,92.2,0.378,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.24,,,,
Commercial,,Baton Rouge,October,10.0,62302.0,202.2,83.7,0.414,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.16,,,,
Commercial,,Baton Rouge,November,11.0,58606.0,221.7,81.4,0.367,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.09,,,,
Commercial,,Baton Rouge,December,12.0,62658.0,204.4,84.2,0.412,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,1.17,,,,
Commercial,,Baton Rouge,ANNUAL,0.0,778212.0,270.4,88.8,0.329,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Medium Office,53600.0,14.52,,,,
Commercial,,Baton Rouge,January,1.0,553368.0,1675.0,743.8,0.444,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.11,,,,
Commercial,,Baton Rouge,February,2.0,518068.0,1679.9,770.9,0.459,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.04,,,,
Commercial,,Baton Rouge,March,3.0,644151.0,1673.6,865.8,0.517,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.29,,,,
Commercial,,Baton Rouge,April,4.0,616995.0,1670.0,856.9,0.513,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.24,,,,
Commercial,,Baton Rouge,May,5.0,687266.0,1665.7,923.7,0.555,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.38,,,,
Commercial,,Baton Rouge,June,6.0,686673.0,1901.2,953.7,0.502,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.38,,,,
Commercial,,Baton Rouge,July,7.0,700745.0,1734.0,941.9,0.543,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.41,,,,
Commercial,,Baton Rouge,August,8.0,729390.0,1771.7,980.4,0.553,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.46,,,,
Commercial,,Baton Rouge,September,9.0,667933.0,1839.8,927.7,0.504,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.34,,,,
Commercial,,Baton Rouge,October,10.0,635039.0,1658.7,853.5,0.515,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.27,,,,
Commercial,,Baton Rouge,November,11.0,586823.0,1667.9,815.0,0.489,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.18,,,,
Commercial,,Baton Rouge,December,12.0,529977.0,1680.7,712.3,0.424,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,1.06,,,,
Commercial,,Baton Rouge,ANNUAL,0.0,7556429.0,1901.2,862.6,0.454,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Large Office,498600.0,15.16,,,,
Commercial,,Baton Rouge,January,1.0,26958.0,75.0,36.2,0.483,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.09,,,,
Commercial,,Baton Rouge,February,2.0,24056.0,70.3,35.8,0.509,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,0.97,,,,
Commercial,,Baton Rouge,March,3.0,28807.0,83.1,38.7,0.466,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.17,,,,
Commercial,,Baton Rouge,April,4.0,30182.0,93.5,41.9,0.448,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.22,,,,
Commercial,,Baton Rouge,May,5.0,36363.0,113.5,48.9,0.431,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.47,,,,
Commercial,,Baton Rouge,June,6.0,38717.0,129.0,53.8,0.417,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.57,,,,
Commercial,,Baton Rouge,July,7.0,41498.0,121.5,55.8,0.459,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.68,,,,
Commercial,,Baton Rouge,August,8.0,41744.0,126.0,56.1,0.445,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.69,,,,
Commercial,,Baton Rouge,September,9.0,36947.0,129.2,51.3,0.397,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.5,,,,
Commercial,,Baton Rouge,October,10.0,32172.0,106.4,43.2,0.406,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.3,,,,
Commercial,,Baton Rouge,November,11.0,26896.0,86.5,37.4,0.432,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.09,,,,
Commercial,,Baton Rouge,December,12.0,26604.0,74.9,35.8,0.478,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,1.08,,,,
Commercial,,Baton Rouge,ANNUAL,0.0,390944.0,129.2,44.6,0.345,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Standalone Retail,24690.0,15.83,,,,
Commercial,,Baton Rouge,January,1.0,23972.0,66.7,32.2,0.483,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.07,,,,
Commercial,,Baton Rouge,February,2.0,21354.0,61.2,31.8,0.519,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,0.95,,,,
Commercial,,Baton Rouge,March,3.0,25472.0,72.7,34.2,0.471,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.13,,,,
Commercial,,Baton Rouge,April,4.0,26357.0,81.4,36.6,0.45,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.17,,,,
Commercial,,Baton Rouge,May,5.0,31219.0,96.5,42.0,0.435,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.39,,,,
Commercial,,Baton Rouge,June,6.0,33003.0,108.0,45.8,0.424,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.47,,,,
Commercial,,Baton Rouge,July,7.0,35208.0,102.8,47.3,0.46,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.56,,,,
Commercial,,Baton Rouge,August,8.0,35579.0,106.5,47.8,0.449,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.58,,,,
Commercial,,Baton Rouge,September,9.0,32030.0,109.9,44.5,0.405,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.42,,,,
Commercial,,Baton Rouge,October,10.0,28497.0,93.0,38.3,0.412,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.27,,,,
Commercial,,Baton Rouge,November,11.0,24043.0,78.4,33.4,0.426,,EnergyPlus DOE Commercial Reference Building,USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3,2A (Hot-Humid),Strip Mall,22500.0,1.07,,,,
