Rate_Schedule,Utility,Season,Season_Months,Season_Dates,Period,Days,Hours_Start,Hours_End,Hours_Description,Energy_Rate,Energy_Rate_Rounded,Unit,Demand_Charge,Demand_Unit,Holidays_Excluded,Data_Source,Effective_Date,LPSC_Order,Notes,Reference_URL,Sub_Period,Data_Type,Summer_OnPeak,Summer_OffPeak,Summer_Spread,Summer_Ratio,Winter_OnPeak,Winter_OffPeak,Winter_Spread,Winter_Ratio,Peak_Hours_Summer,Peak_Hours_Winter,Peak_Hours_Unit,Arbitrage_Potential,Credit_Type,Export_Credit_Rate,Applicability,Comparison_Retail,Export_vs_Retail,Charge_Type,Description,Application,Typical_Range,Current_Value_Reference,Analysis_Type,OnPeak_Rate,OffPeak_Rate,Price_Spread,Spread_Percentage,Battery_Roundtrip_Efficiency,Net_Arbitrage_Value,Calculation,OnPeak_Hours_Per_Day,OnPeak_Days_Per_Month,OnPeak_Hours_Per_Month,Annual_OnPeak_Hours,Potential_Annual_Cycles,Example_100kWh_Battery,Summer_Demand_Charge,Winter_Demand_Charge,Peak_Shaving_Value_Summer,Peak_Shaving_Value_Winter,Annual_Unit,Example_50kW_Peak_Reduction,Solar_Export_Credit,Summer_OnPeak_Rate,Retail_Self_Consumption_Value,Best_Use_Case,Self_Consumption_vs_Export,Strategy
HLFS-TOD-G,Entergy Louisiana LLC,Summer,May-October,May 15 - October 15,On-Peak,Monday-Friday,13:00,21:00,1:00 PM - 9:00 PM,0.0255405079,0.02554,$/kWh,16.13,$/kW-month,"Memorial Day, Independence Day (July 4), Labor Day","Entergy Louisiana Rate Schedule HLFS-TOD-G, Section VI",2015-10-01,U-33244-A,On-peak period applies Mon-Fri excluding listed holidays,https://www.entergylouisiana.com/business/egsl-tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLFS-TOD-G,Entergy Louisiana LLC,Summer,May-October,May 15 - October 15,Off-Peak,All Days,,,All other hours not specified as on-peak,0.0060701209,0.00607,$/kWh,16.13,$/kW-month,,"Entergy Louisiana Rate Schedule HLFS-TOD-G, Section VI",2015-10-01,U-33244-A,"Off-peak includes nights, weekends, and on-peak holidays",https://www.entergylouisiana.com/business/egsl-tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLFS-TOD-G,Entergy Louisiana LLC,Winter,November-April,October 16 - May 14,On-Peak,Monday-Friday,06:00,10:00,6:00 AM - 10:00 AM,0.0074601486,0.00746,$/kWh,14.5,$/kW-month,"Thanksgiving Day, Christmas Day, New Year's Day","Entergy Louisiana Rate Schedule HLFS-TOD-G, Section VI",2015-10-01,U-33244-A,Winter has two on-peak periods per weekday,https://www.entergylouisiana.com/business/egsl-tariffs,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLFS-TOD-G,Entergy Louisiana LLC,Winter,November-April,October 16 - May 14,On-Peak,Monday-Friday,18:00,22:00,6:00 PM - 10:00 PM,0.0074601486,0.00746,$/kWh,14.5,$/kW-month,"Thanksgiving Day, Christmas Day, New Year's Day","Entergy Louisiana Rate Schedule HLFS-TOD-G, Section VI",2015-10-01,U-33244-A,Winter has two on-peak periods per weekday,https://www.entergylouisiana.com/business/egsl-tariffs,Evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLFS-TOD-G,Entergy Louisiana LLC,Winter,November-April,October 16 - May 14,Off-Peak,All Days,,,All other hours not specified as on-peak,0.0060701209,0.00607,$/kWh,14.5,$/kW-month,,"Entergy Louisiana Rate Schedule HLFS-TOD-G, Section VI",2015-10-01,U-33244-A,"Off-peak includes nights, weekends, midday, and holidays",https://www.entergylouisiana.com/business/egsl-tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLFS-TOD-G,Entergy Louisiana LLC,,,,,,,,,,,$/kWh,,,,,,,Summer has 4.2× on/off spread; Winter only 1.2× spread,,,SUMMARY,0.02554,0.00607,0.01947,4.21,0.00746,0.00607,0.00139,1.23,8.0,8.0,hours/weekday,"High in summer, limited in winter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net_Billing_Export_Credit,Entergy Louisiana LLC,,,,,,,,,,,$/kWh,,,,"Entergy Louisiana Net Metering page, LPSC Order R-33929",2025-04-01,,Export credit for surplus solar/storage generation sent to grid,https://www.entergylouisiana.com/net-metering,,,,,,,,,,,,,,,Avoided_Cost,0.0259331,Post-2019 distributed generation systems,0.112,23% of retail rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLFS-TOD-G,Entergy Louisiana LLC,,,,,,,,,,,$/kWh,,,,Entergy Louisiana Fuel Adjustment Clause,,,Variable monthly; same rate for all periods; see utility_rates.csv for current value,,,,,,,,,,,,,,,,,,,,,Fuel_Adjustment,Monthly fuel cost adjustment (Rider FA),Applied to all kWh (on-peak and off-peak),0.020-0.030,"0.02512 (November 2025, from utility_rates_collector)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,Summer (May-Oct),,,,,,,,,,$/kWh and %,,,,Calculated from HLFS-TOD-G rates,,,High arbitrage value in summer - strong battery economics,,,,,,,,,,,,,,,,,,,,,,,,,,Energy_Arbitrage_Summer,0.02554,0.00607,0.01947,320.8,0.85,0.01431,(0.02554 - 0.00607) × 0.85 roundtrip efficiency,8.0,22.0,176.0,1056.0,176.0,"$1,431/year potential (1 cycle/day × $14.31/cycle × 100 days)",,,,,,,,,,,,
,,Winter (Nov-Apr),,,,,,,,,,$/kWh and %,,,,Calculated from HLFS-TOD-G rates,,,Limited arbitrage value in winter - marginal battery economics,,,,,,,,,,,,,,,,,,,,,,,,,,Energy_Arbitrage_Winter,0.00746,0.00607,0.00139,22.9,0.85,0.00069,(0.00746 - 0.00607) × 0.85 roundtrip efficiency,8.0,22.0,176.0,1056.0,132.0,$69/year potential (1 cycle/day × $0.69/cycle × 100 days),,,,,,,,,,,,
,,,,,,,,,,,,$/kW-month,,,,Calculated from HLFS-TOD-G demand charges,,,Battery can reduce demand charges by shaving peaks,,,,,,,,,,,,,,,,,,,,,,,,,,Peak_Demand_Reduction,,,,,,,"Summer: $16.13/kW × 12 months, Winter: $14.50/kW × 6 months",,,,,,,16.13,14.5,193.56,87.0,$/kW-year,"$9,678/year (50 kW × $193.56/kW-yr summer) + $4,350 winter",,,,,,
,,,,,,,,,,,,$/kWh,,,,HLFS-TOD-G rates + Net Billing avoided cost,,,Export credits very low; maximize self-consumption,,,,,,,,,,,,,,,,,,,,,,,,,,Solar_Plus_Storage_Economics,,,,,,,,,,,,,,,,,,,,0.0259331,0.02554,0.1123,Self-consumption during on-peak hours,Self-consume = 4.3× more valuable than export,Size battery to shift solar to on-peak consumption
