Utility,Rate_Schedule,Rate_Component,Description,Cost,Unit,Tier,Season,Data_Source,Effective_Date,Last_Verified,Reference_URL,Notes,kWh_Min,kWh_Max,Adjustment_Month,Voltage_Class,Blended_Energy_Rate,Demand_Charge,Demand_Unit,Monthly_Base,Base_Unit,Last_Updated
Entergy Louisiana,LGS-L,Base_Demand_Block,First 60 kW or less of billed demand per month,275.39,$/month,First 60 kW,All Year,"Entergy LA Schedule LGS-L, Eff. 8/30/2024, LPSC Order U-36959",2024-08-30,2025-12-01,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_lgs-l.pdf,This acts as base customer charge; no separate customer fee,,,,,,,,,,
Entergy Louisiana,LGS-L,Additional_Demand,All additional kW of demand above 60 kW,2.85,$/kW,Above 60 kW,All Year,"Entergy LA Schedule LGS-L, Eff. 8/30/2024",2024-08-30,2025-12-01,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_lgs-l.pdf,Non-seasonal; same rate year-round,,,,,,,,,,
Entergy Louisiana,LGS-L,Energy_Tier1,"First 30,000 kWh per month",0.03548,$/kWh,"0-30,000 kWh",All Year,"Entergy LA Schedule LGS-L, Eff. 8/30/2024",2024-08-30,2025-12-01,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_lgs-l.pdf,Lowest tier energy rate,0,30000,,,,,,,,
Entergy Louisiana,LGS-L,Energy_Tier2,"Next kWh up to 40,000 kWh or 400 kWh per kW of demand (whichever greater)",0.02637,$/kWh,"30,000+ kWh up to threshold",All Year,"Entergy LA Schedule LGS-L, Eff. 8/30/2024",2024-08-30,2025-12-01,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_lgs-l.pdf,Middle tier; threshold depends on demand,30000,"MAX(40000, 400*demand_kW)",,,,,,,,
Entergy Louisiana,LGS-L,Energy_Tier3,All remaining kWh over tier 2 threshold,0.01745,$/kWh,Over tier 2 threshold,All Year,"Entergy LA Schedule LGS-L, Eff. 8/30/2024",2024-08-30,2025-12-01,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_lgs-l.pdf,Highest usage tier; lowest rate,Above threshold,,,,,,,,,
Entergy Louisiana,LGS-L,Fuel_Adjustment,Monthly fuel adjustment per kWh (Rider FA),0.02512,$/kWh,,All Year,Entergy LA Monthly Fuel Clause Adjustment - Retail Electric Rates,2025-11-01,2025-12-01,https://www.entergylouisiana.com/business/ell-tariffs,Variable monthly adjustment; Nov 2025 = $0.02512/kWh for secondary voltage,,,November 2025,Secondary,,,,,,
Entergy Louisiana,LGS-L,Fuel_Adjustment,Monthly fuel adjustment per kWh (Rider FA) - October 2025,0.02575,$/kWh,,All Year,Entergy LA Monthly Fuel Clause Adjustment - Retail Electric Rates,2025-10-01,2025-12-01,https://www.entergylouisiana.com/business/ell-tariffs,Previous month for comparison,,,October 2025,Secondary,,,,,,
Entergy Louisiana,LGS-L,Reactive_Demand_Penalty,Reactive demand in excess of 50% of billed kW demand,0.55,$/kVA,,All Year,"Entergy LA Schedule LGS-L, Eff. 8/30/2024",2024-08-30,2025-12-01,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_lgs-l.pdf,Power factor penalty; $0.55 per kVA of reactive demand above 50% of kW,,,,,,,,,,
Entergy Louisiana,LGS-L,Minimum_Demand_Ratchet,Minimum monthly demand charge based on 12-month peak,3.66,$/kW,,All Year,"Entergy LA Schedule LGS-L, Eff. 8/30/2024",2024-08-30,2025-12-01,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_lgs-l.pdf,"Minimum = $3.66/kW Ã— highest demand in preceding 12 months, plus adjustments",,,,,,,,,,
Entergy Louisiana,LGS-L,Late_Payment_Penalty,Late payment adder if bill not paid within 20 days,1.5,%,,All Year,Entergy LA General Terms and Conditions,2024-08-30,2025-12-01,https://www.entergylouisiana.com/business/ell-tariffs,1.5% of gross bill if not paid within 20 days,,,,,,,,,,
Entergy Louisiana,LGS-L (Simplified),,Typical blended energy rate (including fuel adjustment),,$/kWh,,,"Calculated from Entergy LA LGS-L tariff, eff. 8/30/2024",,,,Simplified for modeling; actual bill depends on usage tiers and monthly fuel adjustment,,,,,0.045,2.85,$/kW,275.39,$/month,2025-12-01
